ticker,date,true_volatility,st_true_volatility
600036,2016/2/2,0.011046658,-0.328611289
601009,2016/2/2,0.011716807,-0.143477165
601166,2016/2/2,0.009217104,-0.186399562
601169,2016/2/2,0.013836006,0.462263331
601288,2016/2/2,0.007775064,-0.048612271
601328,2016/2/2,0.00964506,0.206237512
601398,2016/2/2,0.006179555,-0.465055291
601818,2016/2/2,0.008216311,-0.337338434
601939,2016/2/2,0.008712604,-0.25257682
601988,2016/2/2,0.009442154,0.248976045
601998,2016/2/2,0.014858943,0.458370634
1,2016/2/3,0.013219955,-0.13903629
600000,2016/2/3,0.049759091,4.96082803
600015,2016/2/3,0.016964342,0.842509438
600016,2016/2/3,0.006955157,-0.209285272
600036,2016/2/3,0.013317749,0.013101232
601009,2016/2/3,0.015836798,0.073478908
601166,2016/2/3,0.012043494,0.252520825
601169,2016/2/3,0.014428058,0.523210189
601288,2016/2/3,0.010956047,0.521401175
601328,2016/2/3,0.014193045,0.926996114
601398,2016/2/3,0.011040494,0.36022009
601818,2016/2/3,0.013447923,0.430848897
601939,2016/2/3,0.013796336,0.413141369
601988,2016/2/3,0.016498083,1.468909198
601998,2016/2/3,0.019781137,1.068565578
1,2016/2/4,0.012585017,-0.20794874
600000,2016/2/4,0.049654162,4.947705299
600015,2016/2/4,0.016510656,0.790018849
600016,2016/2/4,0.006241865,-0.308618855
600036,2016/2/4,0.011523118,-0.256922243
601009,2016/2/4,0.016990285,0.13422079
601166,2016/2/4,0.010083299,-0.051884989
601169,2016/2/4,0.014381425,0.518409707
601288,2016/2/4,0.009691974,0.294886728
601328,2016/2/4,0.011741116,0.538417674
601398,2016/2/4,0.010059276,0.193631894
601818,2016/2/4,0.012855341,0.343836714
601939,2016/2/4,0.012776325,0.27957023
601988,2016/2/4,0.015516248,1.299155071
601998,2016/2/4,0.018424976,0.900444902
1,2016/2/5,0.013160659,-0.14547193
600000,2016/2/5,0.046371662,4.537186131
600015,2016/2/5,0.016455895,0.783683108
600016,2016/2/5,0.006241719,-0.308639187
600036,2016/2/5,0.011441529,-0.269198273
601009,2016/2/5,0.017406558,0.156141458
601166,2016/2/5,0.010392353,-0.003890869
601169,2016/2/5,0.011961903,0.269339923
601288,2016/2/5,0.009786359,0.311799965
601328,2016/2/5,0.011797362,0.547331465
601398,2016/2/5,0.010155126,0.209905015
601818,2016/2/5,0.012649055,0.313546567
601939,2016/2/5,0.012661038,0.264473318
601988,2016/2/5,0.015736108,1.337167713
601998,2016/2/5,0.018126098,0.86339357
1,2016/2/15,0.013354426,-0.124441595
600000,2016/2/15,0.045578847,4.43803434
600015,2016/2/15,0.016587432,0.798901683
600016,2016/2/15,0.007725191,-0.102049755
600036,2016/2/15,0.012201889,-0.154793112
601009,2016/2/15,0.018004796,0.187644286
601166,2016/2/15,0.010859335,0.068628465
601169,2016/2/15,0.014542238,0.534964076
601288,2016/2/15,0.010283055,0.400804967
601328,2016/2/15,0.01162235,0.519595796
601398,2016/2/15,0.011187728,0.385217029
601818,2016/2/15,0.012638311,0.311968965
601939,2016/2/15,0.012844901,0.288550304
601988,2016/2/15,0.015733328,1.336687066
601998,2016/2/15,0.01757714,0.7953403
1,2016/2/16,0.013079078,-0.154326254
600015,2016/2/16,0.015305603,0.650596559
600016,2016/2/16,0.008490158,0.004480128
600036,2016/2/16,0.012376187,-0.128567915
601009,2016/2/16,0.018567332,0.217267069
601166,2016/2/16,0.011813691,0.216833881
601169,2016/2/16,0.014815931,0.563138507
601288,2016/2/16,0.009448187,0.251201531
601328,2016/2/16,0.011303809,0.469113843
601398,2016/2/16,0.01092387,0.340420024
601818,2016/2/16,0.011656152,0.167752975
601939,2016/2/16,0.012068956,0.186939774
601988,2016/2/16,0.014022804,1.040946429
